Timestamp,SSID,Signal Strength (dBm),BSSID
2024-10-22 12:20:21,eduroam,-89,f0:5c:19:87:35:31:
2024-10-22 12:20:21,eduroam,-87,f0:5c:19:87:fd:e0:
2024-10-22 12:20:21,eduroam,-94,f0:5c:19:86:29:d0:
2024-10-22 12:20:21,eduroam,-84,f0:5c:19:86:8a:30:
2024-10-22 12:20:21,eduroam,-71,a8:bd:27:7c:ca:10:
2024-10-22 12:20:21,eduroam,-62,f0:5c:19:86:89:90:
2024-10-22 12:20:21,eduroam,-78,f0:5c:19:86:8b:10:
2024-10-22 12:20:21,eduroam,-78,f0:5c:19:86:8c:10:
2024-10-22 12:20:21,eduroam,-66,f0:5c:19:86:8b:00:
2024-10-22 12:20:21,eduroam,-83,f0:5c:19:88:01:81:
2024-10-22 12:20:21,eduroam,-79,f0:5c:19:86:29:c0:
2024-10-22 12:20:21,eduroam,-46,f0:5c:19:86:1d:00:
2024-10-22 12:20:21,eduroam,-90,f0:5c:19:86:22:00:
2024-10-22 12:20:21,eduroam,-67,f0:5c:19:86:a2:61:
2024-10-22 12:20:21,eduroam,-59,f0:5c:19:86:89:80:
2024-10-22 12:20:21,eduroam,-60,f0:5c:19:86:1d:10:
2024-10-22 12:20:21,eduroam,-82,a8:bd:27:7c:ca:00:
2024-10-22 12:20:21,Freifunk,-93,f0:5c:19:86:29:d1:
2024-10-22 12:20:21,Freifunk,-88,f0:5c:19:86:9e:c3:
2024-10-22 12:20:21,Freifunk,-72,f0:5c:19:87:35:23:
2024-10-22 12:20:21,Freifunk,-87,f0:5c:19:87:35:33:
2024-10-22 12:20:21,Freifunk,-84,f0:5c:19:86:8a:36:
2024-10-22 12:20:21,Freifunk,-71,a8:bd:27:7c:ca:16:
2024-10-22 12:20:21,Freifunk,-62,f0:5c:19:86:89:97:
2024-10-22 12:20:21,Freifunk,-93,f0:5c:19:87:fd:f7:
2024-10-22 12:20:21,Freifunk,-78,f0:5c:19:86:8b:12:
2024-10-22 12:20:21,Freifunk,-78,f0:5c:19:86:8c:12:
2024-10-22 12:20:21,Freifunk,-66,f0:5c:19:86:8b:02:
2024-10-22 12:20:21,Freifunk,-67,f0:5c:19:86:a2:63:
2024-10-22 12:20:21,Freifunk,-71,f0:5c:19:86:8c:02:
2024-10-22 12:20:21,Freifunk,-42,f0:5c:19:86:1d:09:
2024-10-22 12:20:21,Freifunk,-79,f0:5c:19:86:29:c1:
2024-10-22 12:20:21,Freifunk,-86,f0:5c:19:87:fd:e7:
2024-10-22 12:20:21,Freifunk,-66,a8:bd:27:7c:ca:08:
2024-10-22 12:20:21,Freifunk,-60,f0:5c:19:86:89:89:
2024-10-22 12:20:21,Freifunk,-64,f0:5c:19:86:1d:17:
2024-10-22 12:20:21,Vodafone-09E5,-92,d4:3f:cb:9d:d2:43:
2024-10-22 12:20:21,FBM MMK,-62,f0:5c:19:86:89:93:
2024-10-22 12:20:21,FBM MMK,-93,f0:5c:19:86:29:d4:
2024-10-22 12:20:21,FBM MMK,-71,a8:bd:27:7c:ca:12:
2024-10-22 12:20:21,FBM MMK,-78,f0:5c:19:86:29:c4:
2024-10-22 12:20:21,FBM MMK,-59,f0:5c:19:86:89:83:
2024-10-22 12:20:21,FBM MMK,-84,a8:bd:27:7c:ca:02:
2024-10-22 12:20:21,CIT_managed,-78,f0:5c:19:86:8b:11:
2024-10-22 12:20:21,CIT_managed,-93,f0:5c:19:86:29:d2:
2024-10-22 12:20:21,CIT_managed,-66,f0:5c:19:86:89:82:
2024-10-22 12:20:21,CIT_managed,-85,f0:5c:19:86:8a:31:
2024-10-22 12:20:21,CIT_managed,-89,f0:5c:19:87:35:32:
2024-10-22 12:20:21,CIT_managed,-71,a8:bd:27:7c:ca:18:
2024-10-22 12:20:21,CIT_managed,-62,f0:5c:19:86:89:99:
2024-10-22 12:20:21,CIT_managed,-78,f0:5c:19:86:8c:11:
2024-10-22 12:20:21,CIT_managed,-68,f0:5c:19:86:8b:01:
2024-10-22 12:20:21,CIT_managed,-79,f0:5c:19:86:29:c2:
2024-10-22 12:20:21,CIT_managed,-70,f0:5c:19:86:8c:01:
2024-10-22 12:20:21,CIT_managed,-55,f0:5c:19:86:1d:03:
2024-10-22 12:20:21,CIT_managed,-87,f0:5c:19:86:22:01:
2024-10-22 12:20:21,CIT_managed,-70,f0:5c:19:86:a2:62:
2024-10-22 12:20:21,CIT_managed,-88,f0:5c:19:87:fd:e2:
2024-10-22 12:20:21,CIT_managed,-83,f0:5c:19:88:01:82:
2024-10-22 12:20:21,CIT_managed,-65,a8:bd:27:7c:ca:04:
2024-10-22 12:20:21,CIT_managed,-64,f0:5c:19:86:1d:15:
2024-10-22 12:20:21,CIT_managed,-91,f0:5c:19:86:8c:81:
2024-10-22 12:20:21,ZDD DSAI,-93,f0:5c:19:86:29:d9:
2024-10-22 12:20:21,ZDD DSAI,-79,f0:5c:19:86:29:c9:
2024-10-22 12:20:21,ZDD DSAI,-71,a8:bd:27:7c:ca:19:
2024-10-22 12:20:21,ZDD DSAI,-63,f0:5c:19:86:89:95:
2024-10-22 12:20:21,ZDD DSAI,-65,a8:bd:27:7c:ca:09:
2024-10-22 12:20:21,ZDD DSAI,-61,f0:5c:19:86:89:87:
2024-10-22 12:20:21,FBM IT-Sicherheit,-92,f0:5c:19:86:29:d8:
2024-10-22 12:20:21,FBM IT-Sicherheit,-84,f0:5c:19:86:8a:35:
2024-10-22 12:20:21,FBM IT-Sicherheit,-77,f0:5c:19:86:29:c8:
2024-10-22 12:20:21,FBM IT-Sicherheit,-71,a8:bd:27:7c:ca:15:
2024-10-22 12:20:21,FBM IT-Sicherheit,-63,f0:5c:19:86:89:96:
2024-10-22 12:20:21,FBM IT-Sicherheit,-85,a8:bd:27:7c:ca:07:
2024-10-22 12:20:21,FBM IT-Sicherheit,-60,f0:5c:19:86:89:88:
2024-10-22 12:20:21,FBM_DAISY,-94,f0:5c:19:86:29:d7:
2024-10-22 12:20:21,FBM_DAISY,-79,f0:5c:19:86:29:c7:
2024-10-22 12:20:21,FBM_DAISY,-71,a8:bd:27:7c:ca:14:
2024-10-22 12:20:21,FBM_DAISY,-62,f0:5c:19:86:89:94:
2024-10-22 12:20:21,FBM_DAISY,-94,f0:5c:19:87:fd:f8:
2024-10-22 12:20:21,FBM_DAISY,-88,f0:5c:19:87:fd:e8:
2024-10-22 12:20:21,FBM_DAISY,-65,a8:bd:27:7c:ca:06:
2024-10-22 12:20:21,FBM_DAISY,-86,f0:5c:19:86:89:86:
2024-10-22 12:20:21,Freifunk,-93,f0:5c:19:86:29:d1:
2024-10-22 12:20:21,Freifunk,-88,f0:5c:19:86:9e:c3:
2024-10-22 12:20:21,Freifunk,-72,f0:5c:19:87:35:23:
2024-10-22 12:20:21,Freifunk,-87,f0:5c:19:87:35:33:
2024-10-22 12:20:21,Freifunk,-84,f0:5c:19:86:8a:36:
2024-10-22 12:20:21,Freifunk,-71,a8:bd:27:7c:ca:16:
2024-10-22 12:20:21,Freifunk,-62,f0:5c:19:86:89:97:
2024-10-22 12:20:21,Freifunk,-93,f0:5c:19:87:fd:f7:
2024-10-22 12:20:21,Freifunk,-78,f0:5c:19:86:8b:12:
2024-10-22 12:20:21,Freifunk,-78,f0:5c:19:86:8c:12:
2024-10-22 12:20:21,Freifunk,-66,f0:5c:19:86:8b:02:
2024-10-22 12:20:21,Freifunk,-67,f0:5c:19:86:a2:63:
2024-10-22 12:20:21,Freifunk,-71,f0:5c:19:86:8c:02:
2024-10-22 12:20:21,Freifunk,-42,f0:5c:19:86:1d:09:
2024-10-22 12:20:21,Freifunk,-79,f0:5c:19:86:29:c1:
2024-10-22 12:20:21,Freifunk,-86,f0:5c:19:87:fd:e7:
2024-10-22 12:20:21,Freifunk,-66,a8:bd:27:7c:ca:08:
2024-10-22 12:20:21,Freifunk,-60,f0:5c:19:86:89:89:
2024-10-22 12:20:21,Freifunk,-64,f0:5c:19:86:1d:17:
2024-10-22 12:20:21,FBM Webtec2,-94,f0:5c:19:86:29:d6:
2024-10-22 12:20:21,FBM Webtec2,-72,a8:bd:27:7c:ca:13:
2024-10-22 12:20:21,FBM Webtec2,-63,f0:5c:19:86:89:92:
2024-10-22 12:20:21,FBM Webtec2,-78,f0:5c:19:86:29:c6:
2024-10-22 12:20:21,FBM Webtec2,-43,f0:5c:19:86:1d:07:
2024-10-22 12:20:21,FBM Webtec2,-59,f0:5c:19:86:89:85:
2024-10-22 12:20:21,FBM Webtec2,-66,a8:bd:27:7c:ca:05:
2024-10-22 12:20:21,FBM Webtec2,-65,f0:5c:19:86:1d:13:
2024-10-22 12:20:21,eduroam,-89,f0:5c:19:87:35:31:
2024-10-22 12:20:21,eduroam,-87,f0:5c:19:87:fd:e0:
2024-10-22 12:20:21,eduroam,-94,f0:5c:19:86:29:d0:
2024-10-22 12:20:21,eduroam,-84,f0:5c:19:86:8a:30:
2024-10-22 12:20:21,eduroam,-71,a8:bd:27:7c:ca:10:
2024-10-22 12:20:21,eduroam,-62,f0:5c:19:86:89:90:
2024-10-22 12:20:21,eduroam,-78,f0:5c:19:86:8b:10:
2024-10-22 12:20:21,eduroam,-78,f0:5c:19:86:8c:10:
2024-10-22 12:20:21,eduroam,-66,f0:5c:19:86:8b:00:
2024-10-22 12:20:21,eduroam,-83,f0:5c:19:88:01:81:
2024-10-22 12:20:21,eduroam,-79,f0:5c:19:86:29:c0:
2024-10-22 12:20:21,eduroam,-46,f0:5c:19:86:1d:00:
2024-10-22 12:20:21,eduroam,-90,f0:5c:19:86:22:00:
2024-10-22 12:20:21,eduroam,-67,f0:5c:19:86:a2:61:
2024-10-22 12:20:21,eduroam,-59,f0:5c:19:86:89:80:
2024-10-22 12:20:21,eduroam,-60,f0:5c:19:86:1d:10:
2024-10-22 12:20:21,eduroam,-82,a8:bd:27:7c:ca:00:
2024-10-22 12:20:21,FBM 1510,-74,f0:5c:19:87:35:20:
2024-10-22 12:20:21,FBM 1510,-89,f0:5c:19:87:35:30:
2024-10-22 12:20:21,FBM 1510,-87,f0:5c:19:87:fd:e1:
2024-10-22 12:20:21,FBM 1510,-94,f0:5c:19:86:29:d3:
2024-10-22 12:20:21,FBM 1510,-71,a8:bd:27:7c:ca:11:
2024-10-22 12:20:21,FBM 1510,-63,f0:5c:19:86:89:91:
2024-10-22 12:20:21,FBM 1510,-82,f0:5c:19:86:a2:70:
2024-10-22 12:20:21,FBM 1510,-79,f0:5c:19:86:29:c3:
2024-10-22 12:20:21,FBM 1510,-84,f0:5c:19:88:01:80:
2024-10-22 12:20:21,FBM 1510,-43,f0:5c:19:86:1d:01:
2024-10-22 12:20:21,FBM 1510,-68,f0:5c:19:86:a2:60:
2024-10-22 12:20:21,FBM 1510,-65,f0:5c:19:86:1d:11:
2024-10-22 12:20:21,FBM 1510,-83,a8:bd:27:7c:ca:01:
2024-10-22 12:20:21,FBM 1510,-63,f0:5c:19:86:89:81:
2024-10-22 12:20:21,Pretty Fly 4 a WIFI,-88,58:68:7a:23:1c:7e:
2024-10-22 12:20:21,FBM DIVA2,-91,f0:5c:19:86:8c:84:
2024-10-22 12:20:21,FBM DIVA2,-84,f0:5c:19:86:8a:34:
2024-10-22 12:20:21,FBM DIVA2,-91,f0:5c:19:87:fd:f4:
2024-10-22 12:20:21,FBM DIVA2,-43,f0:5c:19:86:1d:04:
2024-10-22 12:20:21,FBM DIVA2,-90,f0:5c:19:87:fd:e4:
2024-10-22 12:20:21,FBM DIVA2,-64,f0:5c:19:86:1d:14:
2024-10-22 12:20:21,FBM DIVA,-84,f0:5c:19:86:8a:33:
2024-10-22 12:20:21,FBM DIVA,-75,f0:5c:19:86:1d:02:
2024-10-22 12:20:21,FBM DIVA,-64,f0:5c:19:86:1d:12:
2024-10-22 12:20:21,FBM Webtec,-95,f0:5c:19:86:29:d5:
2024-10-22 12:20:21,FBM Webtec,-71,a8:bd:27:7c:ca:17:
2024-10-22 12:20:21,FBM Webtec,-62,f0:5c:19:86:89:98:
2024-10-22 12:20:21,FBM Webtec,-78,f0:5c:19:86:29:c5:
2024-10-22 12:20:21,FBM Webtec,-42,f0:5c:19:86:1d:06:
2024-10-22 12:20:21,FBM Webtec,-60,f0:5c:19:86:89:84:
2024-10-22 12:20:21,FBM Webtec,-85,a8:bd:27:7c:ca:03:
2024-10-22 12:20:21,FBM Webtec,-65,f0:5c:19:86:1d:18:
2024-10-22 12:20:21,FBM 1510_2,-92,f0:5c:19:87:fd:f6:
2024-10-22 12:20:21,FBM 1510_2,-88,f0:5c:19:87:fd:e6:
2024-10-22 12:20:21,FBM MI-Projekte,-92,f0:5c:19:87:fd:f5:
2024-10-22 12:20:21,FBM MI-Projekte,-86,f0:5c:19:87:fd:e5:
2024-10-22 12:20:21,,-87,f0:5c:19:87:fd:e3:
2024-10-22 12:20:21,DIRECT-D3B24BD7,-90,9e:ae:d3:b2:cb:d7:
